id,总检测粉丝数,有效粉丝数,比例
98346799725,98,93,0.05102040816326531
71646962814,5000,2728,0.4544
65344100887,4953,4261,0.13971330506763577
54023682633,4359,2849,0.3464097270016059
56284938462,4986,2920,0.41436020858403527
64755101425,4997,2776,0.4444666800080048
53500165833,4999,3033,0.39327865573114623
62324585633,4997,3338,0.33199919951971185
101170068684,4999,2800,0.4398879775955191
25189068324,4998,2567,0.48639455782312924
94814550299,5000,2570,0.486
63461402903,4998,4324,0.13485394157663066
50752343177,4998,3693,0.26110444177671066
53502602441,4985,3104,0.3773319959879639
100648402700,4998,2727,0.45438175270108044
96263153533,3185,2012,0.3682888540031397
63724527376,5000,3484,0.3032
96458012316,4308,2425,0.4370937790157846
73023865622,4999,3840,0.23184636927385477
95879997948,4991,3005,0.39791624924864755
65162427142,4997,4381,0.12327396437862717
58487390105,4999,2098,0.5803160632126425
52142525454,4283,3157,0.2628998365631567
58708896778,4994,3587,0.2817380857028434
3927082709048509,4999,2929,0.41408281656331264
70795390506,4997,3372,0.3251951170702421
54789526812,4999,4377,0.1244248849769954
98754671121,4997,3442,0.3111867120272163
17356083103,4408,2238,0.4922867513611615
51716305457,4966,3071,0.3815948449456303
64619226888,3137,1938,0.3822123047497609
63808766915,4899,3378,0.3104715248009798
95458086552,4999,3271,0.34566913382676534
70509553072,2353,1497,0.36379090522736934
110479764335,4998,2812,0.437374949979992
72254248342,5000,3261,0.3478
98607420573,4965,3710,0.2527693856998993
101291342153,4996,1211,0.7576060848678943
71538462358,4997,3274,0.3448068841304783
62573701758,4998,2894,0.42096838735494196
98326555498,5000,3533,0.2934
63232975167,3577,1653,0.5378809057869723
98072287417,4997,3511,0.29737842705623374
53533187136,4999,3682,0.2634526905381076
100169724830,4997,3479,0.30378226936161695
17556178514,4988,3358,0.3267842822774659
58845118124,4996,3486,0.3022417934347478
